Genera,Rank
Lactobacillus,6.80
Dorea,6.54
Turicibacter,6.49
Oscillibacter,6.31
Sporacetigenium,6.23
Robinsoniella,6.01
Akkermansia,5.80
Marvinbryantia,5.63
Asaccharobacter,5.45
Anaerotruncus,5.35
Bacteroides,5.17
Butyricicoccus,5.09
Coprobacillus,4.89
Papillibacter,3.98
Sporobacter,3.60
